days, analyzer.msrcambridge.proj_2.csv, analyzer.msrcambridge.mds_1.csv, analyzer.msrcambridge.proj_4.csv, retention_in_days.csv, analyzer.postmark.csv, analyzer.msrcambridge.mds_0.csv, analyzer.msrcambridge.hm_1.csv, analyzer.msrcambridge.prxy_1.csv, analyzer.iozone.csv, analyzer.msrcambridge.prxy_0.csv, analyzer.cello.csv, analyzer.msrcambridge.prn_0.csv, analyzer.msrcambridge.hm_0.csv, analyzer.msrcambridge.proj_3.csv, analyzer.msrcambridge.proj_0.csv, analyzer.msrcambridge.prn_1.csv, analyzer.websearch.csv, analyzer.msrcambridge.proj_1.csv, 
1, 147141285, 437696, 371458, 0, 1552377, 106166, 1279478, 525459153, 247020, 407762, 2061480461, 1796532, 3665969, 6768377, 903755, 15360551, 18827896, 62235333, 
2, 93203655, 51, 127503, 0, 481131, 32238, 129624, 12130539, 390069, 121593, 151603581, 236617, 330029, 1201343, 324617, 1811040, 263, 2819246, 
3, 62575553, 212147, 4096, 0, 846269, 19015, 161111, 11836967, 452825, 112123, 117935363, 60363, 272572, 95659, 84417, 1430446, 192, 1793828, 
4, 40325281, 11022504, 57333, 0, 605034, 404506, 71886, 12029496, 434786, 106937, 50188226, 227907, 390169, 350088, 198604, 3531771, 16007676, 2112788, 
5, 24450781, 70207, 30700, 0, 455651, 14868, 129012, 11800923, 473366, 81000, 32185692, 419635, 307170, 176339, 215447, 10168841, 2820096, 2169253, 
6, 18896457, 158160, 20740967, 0, 500108, 8547, 60007, 11781570, 334843, 72709, 34767118, 220531, 143075, 177353, 225083, 2595867, 455, 5508264, 
7, 49621932, 26804, 43698, 0, 147431, 16918, 472906, 11152575, 476957, 106711, 22826221, 301857, 206207, 125832, 161525, 4757184, 819, 46748037, 
8, 33528386, 95318, 27262, 0, 19006, 9524, 8188, 10336500, 531616, 51992, 43330448, 221049, 104241, 612305, 173204, 2467754, 18826929, 45801468, 
9, 1134, 22, 27233, 0, 64624, 8984, 19487, 10149288, 488795, 56663, 13532514, 171508, 107638, 173810, 226684, 726681, 263, 291369, 
10, 1262, 123423, 0, 0, 62374, 3544, 28511, 9972349, 406315, 59210, 12423636, 23383, 75202, 53710, 18365, 568068, 192, 1212, 
11, 1159015, 10929277, 55087, 0, 10296, 392023, 38153, 9998963, 276255, 94744, 7049804, 197808, 263370, 274835, 169460, 3000861, 1408962, 510830, 
12, 6171155, 29695, 48081, 0, 137144, 8747, 108358, 10368751, 296233, 46929, 8046456, 388456, 236674, 159934, 190939, 9723760, 17418786, 583784, 
13, 4882439, 158159, 20715244, 0, 93652, 3012, 44446, 11081504, 407209, 49409, 23117410, 202850, 107194, 167450, 205960, 2097101, 263, 3952716, 
14, 301455, 35090, 65084, 0, 35178, 11768, 447255, 10986844, 419641, 80692, 2372371, 425042, 152400, 79632, 147663, 3425195, 192, 46593078, 
15, 33528584, 86936, 27259, 0, 60055, 9524, 8219, 10345478, 477815, 51985, 2691145, 218813, 104241, 726565, 173204, 2449879, 15506803, 45803322, 
16, 936, 22, 14, 0, 55013, 8984, 19456, 10135225, 459291, 60634, 1529167, 32683, 107638, 59536, 226684, 652749, 3320945, 196224, 
17, 1267, 123423, 27223, 0, 3335, 3544, 28511, 9968751, 342595, 61372, 3474505, 162150, 75202, 53723, 18365, 590552, 455, 94658, 
18, 1645389, 10929277, 55084, 0, 188101, 392023, 80586, 9997362, 485329, 88625, 2329037, 58863, 263370, 277420, 169460, 3030694, 819, 563986, 
19, 6137658, 29695, 239008, 0, 48279, 8747, 66584, 10429328, 473116, 46918, 1653553, 518202, 236674, 159196, 190939, 9752777, 18826929, 1403646, 
20, 4432209, 158159, 20524313, 0, 53877, 3012, 45380, 11062415, 557924, 49705, 479403, 200464, 107194, 165590, 205960, 2031353, 263, 11260039, 
21, 298803, 48684, 37868, 0, 54881, 11768, 446424, 10963172, 350785, 93785, 452365, 300891, 152400, 79632, 147663, 3435888, 192, 38319776, 
22, 33528618, 73342, 27259, 0, 32669, 9524, 8208, 10339569, 263546, 38596, 445787, 219702, 104241, 728337, 173204, 2426585, 511127, 45809997, 
23, 902, 22, 14, 0, 77361, 8984, 19205, 10125794, 328775, 61788, 482496, 28821, 107638, 57764, 226684, 648337, 18316621, 189064, 
24, 1267, 123423, 27223, 0, 147431, 3544, 28634, 9972869, 431178, 81144, 259833, 162526, 75202, 53723, 18365, 604526, 263, 94658, 
25, 1957489, 10929277, 55084, 0, 19006, 392023, 101398, 9999395, 386774, 69079, 282887, 62361, 263370, 277512, 169460, 3039163, 192, 615064, 
26, 5959907, 29695, 1614214, 0, 64624, 8747, 50733, 10484533, 498397, 56097, 196703, 516864, 236674, 159632, 190939, 9745253, 14997330, 2710728, 
27, 4297860, 158159, 19149107, 0, 62374, 3012, 88216, 11044283, 430276, 55419, 168995, 200519, 107194, 165062, 205960, 2029305, 3830418, 17023417, 
28, 298803, 61334, 37868, 0, 10296, 11768, 398421, 10933244, 365640, 77509, 136977, 302530, 152400, 79632, 147663, 3450631, 455, 41234028, 
29, 33529162, 60692, 27259, 0, 137144, 9524, 9378, 10337799, 511561, 38596, 97737, 218521, 104241, 728348, 173204, 2406677, 0, 35951638, 
30, 358, 22, 14, 0, 93342, 8729, 18037, 9699616, 456790, 61788, 124969, 25456, 105983, 57753, 222341, 621480, 18827748, 11633, 
